"","num_true","employment_status","completed","n"
"1",1,"full_time_student",FALSE,1
"2",2,"full_time_student",FALSE,2
"3",3,"full_time_student",FALSE,1
"4",3,"full_time_student",TRUE,1
"5",3,"looking_for_work",FALSE,1
"6",3,"retired",FALSE,1
"7",3,"retired",TRUE,1
"8",3,"unemployed",TRUE,1
"9",3,"working_full_time",FALSE,1
"10",4,"full_time_student",FALSE,13
"11",4,"full_time_student",TRUE,1
"12",4,"looking_for_work",FALSE,6
"13",4,"looking_for_work",TRUE,1
"14",4,"not_working",FALSE,5
"15",4,"retired",FALSE,17
"16",4,"retired",TRUE,2
"17",4,"self_employed",FALSE,4
"18",4,"unemployed",FALSE,2
"19",4,"working_full_time",FALSE,5
"20",4,"working_full_time",TRUE,2
"21",4,"working_part_time",FALSE,3
"22",5,"full_time_student",FALSE,163
"23",5,"full_time_student",TRUE,4
"24",5,"looking_for_work",FALSE,77
"25",5,"looking_for_work",TRUE,6
"26",5,"not_working",FALSE,102
"27",5,"not_working",TRUE,10
"28",5,"retired",FALSE,317
"29",5,"retired",TRUE,96
"30",5,"self_employed",FALSE,28
"31",5,"self_employed",TRUE,3
"32",5,"unemployed",FALSE,63
"33",5,"unemployed",TRUE,5
"34",5,"working_full_time",FALSE,81
"35",5,"working_full_time",TRUE,7
"36",5,"working_part_time",FALSE,18
"37",5,"working_part_time",TRUE,2
"38",6,"full_time_student",FALSE,259
"39",6,"full_time_student",TRUE,15
"40",6,"looking_for_work",FALSE,258
"41",6,"looking_for_work",TRUE,24
"42",6,"not_working",FALSE,97
"43",6,"not_working",TRUE,16
"44",6,"retired",FALSE,221
"45",6,"retired",TRUE,62
"46",6,"self_employed",FALSE,319
"47",6,"self_employed",TRUE,40
"48",6,"unemployed",FALSE,90
"49",6,"unemployed",TRUE,10
"50",6,"working_full_time",FALSE,1130
"51",6,"working_full_time",TRUE,174
"52",6,"working_part_time",FALSE,302
"53",6,"working_part_time",TRUE,31
"54",NA,"full_time_student",FALSE,1
"55",NA,"full_time_student",TRUE,1
"56",NA,"working_full_time",FALSE,1
"57",NA,"working_full_time",TRUE,1
